INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;TOTALE_CAMERE;POSTI_LETTO;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
VATICAN DORIA APARTMENT;Categoria 2;VIA ANDREA DORIA, 14;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
A 2 PASSI DA ST.PETER CHURCH;Categoria 2;VIA PAOLA, 46;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
BEATRICE CENCI;Categoria 1;VIA DELL'ARCO DE' CENCI, 7;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
DOMUS PISANA ROMA;Categoria 2;VIA DELLA PISANA, 243;Mun. XII;Casa Vacanze NON impr (Appartamento);1;2;;;;;3;5;0;0
EMMA;Categoria 2;VIA DI SETTECAMINI, 99;Mun. IV;Casa Vacanze NON impr (Appartamento);2;;;;;;2;2;0;0
CASA E APPARTAMENTO PER VACANZE L'ESQUILINA HOLIDAY HOUSE 2;Categoria 1;VIA BUONARROTI, 40;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE TIME HOLIDAY ROME;Categoria 2;VIA CARLO ALBERTO, 8;Mun. I;Casa Vacanze NON impr (Appartamento);;;2;;;;2;6;0;0
THE IMPERIAL SUITE;Categoria 1;VIA DELL'ARCO DE' GINNASI, 9;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE - ROMA SAN PETER VATICAN HOUSE;Categoria 2;VIA EZIO, 29;Mun. I;Casa Vacanze NON impr (Appartamento);;3;;;;;3;6;0;0
CASA E APPARTAMENTO PER VACANZE SAINT PETER HOUSE STATION;Categoria 1;VIA DELLA STAZIONE DI S. PIETRO, 35;Mun. XIII;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
VATICAN GATE MUSEUM APARTMENT CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA LA GOLETTA, 7;Mun. I;Casa Vacanze NON impr (Appartamento);;1;1;;;;2;5;0;0
